flow_duration_ms,packet_rate,byte_rate,avg_packet_size,packet_size_variance,inter_arrival_time_mean,inter_arrival_time_std,payload_entropy,tcp_flag_count,retransmission_rate,flow_direction_ratio,connection_reset_count,session_request_rate,device_type,label
3149.01424590337,48.61735698828815,21943.06561430208,460.92119425632103,953.1693250553328,19.29758912915246,5.5792128155073915,3.3069738916611637,5,0.0016923473708130075,1.2466190478119488,1,6,1,0
3035.39838370305,64.62378120346017,24616.144902843793,302.43576739775904,1120.6882450076264,19.24686809574267,3.83613288350523,2.4094681227381596,7,0.017772437065861273,1.49739619160944,0,3,3,0
2842.4631446609974,69.12771271359208,13919.841152809724,444.77694446247347,1155.838526903001,16.6967067309505,5.130228193897037,3.1492475658917676,6,0.02727961206236346,1.3645089824206378,1,4,2,0
2633.7469050086934,53.229997972782975,15819.74917738189,312.8666301270516,791.220718353033,20.518081119576536,4.324198767552732,3.2983438167301724,7,0.0013568186673161419,0.8326833521364894,1,3,1,0
3232.1101250501047,44.61858338337041,15959.965707915962,364.77634935811574,773.8895390636867,20.403286647884066,4.582122794713039,3.355099383837343,6,0.023705266215936167,1.3396880518421923,1,3,3,0
3052.0806190994413,48.31794911900915,23494.30593651357,390.1700925029184,846.0664452667784,23.63651702639938,5.233496804543057,2.370337885222378,6,0.014166447754858478,1.327590588644978,0,5,2,0
3140.3384259789455,57.361223506692575,17660.894358020363,366.24414558624295,969.8932283480435,17.103326984315075,4.150489078110595,2.9546314994614424,4,0.0094306794322898,1.3807064981251684,0,5,1,0
3005.700099318645,35.81403536984442,20571.0109548955,405.43015317905946,1121.6179324001923,22.114943933998163,4.360923377591135,2.4132128459281894,4,0.02614381770563153,1.3785258943012324,1,6,2,0
2896.7758376066045,57.50785885589421,19017.124450165993,365.53607783006686,948.3630402927321,21.38286684626088,2.6506100267669908,2.592370885852772,5,0.015322419077326972,0.916925851589917,0,4,3,0
2873.8064031703925,45.16877321248707,18290.51495480479,316.33601321250944,1252.7481061532774,19.953549979964663,3.972623554414841,3.327149404886626,6,0.00902634929450309,0.9890791061066324,0,6,1,0
